çÏã∆ì˙,êîó 
2020-02-29,14918.0
2020-03-01,0.0
2020-03-02,78666.0
2020-03-03,53276.0
2020-03-04,46064.0
2020-03-05,50015.0
2020-03-06,45478.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,38031.0
2020-03-10,32449.0
2020-03-11,47521.0
2020-03-12,66220.0
2020-03-13,37056.0
2020-03-14,11328.0
2020-03-15,0.0
2020-03-16,38431.0
2020-03-17,38121.0
2020-03-18,39396.0
2020-03-19,46134.0
2020-03-20,55034.0
2020-03-21,17694.0
2020-03-22,0.0
2020-03-23,58424.0
2020-03-24,37630.0
2020-03-25,38625.0
2020-03-26,53368.0
2020-03-27,51304.0
2020-03-28,13918.0
2020-03-29,0.0
2020-03-30,50529.0
2020-03-31,35396.0
2020-04-01,41654.0
2020-04-02,48877.0
2020-04-03,63454.0
2020-04-04,14971.0
2020-04-05,0.0
2020-04-06,44219.0
2020-04-07,37379.0
2020-04-08,45236.0
2020-04-09,41029.0
2020-04-10,63496.0
2020-04-11,17951.0
2020-04-12,0.0
2020-04-13,71503.0
2020-04-14,38783.0
2020-04-15,26161.0
2020-04-16,28740.0
2020-04-17,35353.0
2020-04-18,14445.0
2020-04-19,0.0
2020-04-20,41577.0
2020-04-21,32666.0
2020-04-22,50909.0
2020-04-23,49765.0
2020-04-24,43558.0
2020-04-25,9149.0
2020-04-26,0.0
2020-04-27,69102.0
2020-04-28,40186.0
2020-04-29,42065.0
2020-04-30,41643.0
2020-05-01,38464.0
2020-05-02,11782.0
2020-05-03,0.0
2020-05-04,44623.0
2020-05-05,29216.0
2020-05-06,31237.0
2020-05-07,28838.0
2020-05-08,34809.0
2020-05-09,12930.0
2020-05-10,0.0
2020-05-11,43433.0
2020-05-12,30961.0
2020-05-13,40994.0
2020-05-14,39484.0
2020-05-15,42997.0
2020-05-16,10191.0
2020-05-17,0.0
2020-05-18,36700.0
2020-05-19,29587.0
2020-05-20,43875.0
2020-05-21,46376.0
2020-05-22,46610.0
2020-05-23,14064.0
2020-05-24,0.0
2020-05-25,61968.0
2020-05-26,38684.0
2020-05-27,37370.0
2020-05-28,62701.0
2020-05-29,65913.0
2020-05-30,13035.0
2020-05-31,0.0
2020-06-01,53757.0
2020-06-02,34724.0
2020-06-03,33258.0
2020-06-04,35612.0
2020-06-05,40926.0
2020-06-06,14934.0
2020-06-07,0.0
2020-06-08,95970.0
2020-06-09,38766.0
2020-06-10,78579.0
2020-06-11,67360.0
2020-06-12,53092.0
2020-06-13,9510.0
2020-06-14,0.0
2020-06-15,34072.0
2020-06-16,29257.0
2020-06-17,44952.0
2020-06-18,51969.0
2020-06-19,49661.0
2020-06-20,13973.0
2020-06-21,0.0
2020-06-22,91459.0
2020-06-23,53253.0
2020-06-24,81386.0
2020-06-25,63992.0
2020-06-26,41222.0
2020-06-27,8258.0
2020-06-28,0.0
2020-06-29,74951.0
2020-06-30,39406.0
2020-07-01,40927.0
2020-07-02,40004.0
2020-07-03,35149.0
2020-07-04,10117.0
2020-07-05,0.0
2020-07-06,32526.0
2020-07-07,26282.0
2020-07-08,35850.0
2020-07-09,30007.0
2020-07-10,23676.0
2020-07-11,8404.0
2020-07-12,0.0
2020-07-13,40281.0
2020-07-14,27316.0
2020-07-15,33713.0
2020-07-16,36540.0
2020-07-17,39628.0
2020-07-18,16264.0
2020-07-19,0.0
2020-07-20,45331.0
2020-07-21,31461.0
2020-07-22,59453.0
2020-07-23,45976.0
2020-07-24,33160.0
2020-07-25,6835.0
2020-07-26,0.0
2020-07-27,37058.0
2020-07-28,28970.0
2020-07-29,63257.0
2020-07-30,53796.0
2020-07-31,42086.0
2020-08-01,16911.0
2020-08-02,0.0
2020-08-03,52852.0
2020-08-04,30725.0
2020-08-05,54482.0
2020-08-06,47704.0
2020-08-07,32031.0
2020-08-08,6679.0
2020-08-09,0.0
2020-08-10,36672.0
2020-08-11,24939.0
2020-08-12,31043.0
2020-08-13,58842.0
2020-08-14,48164.0
2020-08-15,5544.0
2020-08-16,0.0
2020-08-17,33850.0
2020-08-18,24881.0
2020-08-19,28489.0
2020-08-20,32624.0
2020-08-21,41407.0
2020-08-22,13545.0
2020-08-23,0.0
2020-08-24,105281.0
2020-08-25,53029.0
2020-08-26,44978.0
2020-08-27,40386.0
2020-08-28,32186.0
2020-08-29,8213.0
2020-08-30,0.0
2020-08-31,46361.0
2020-09-01,32253.0
2020-09-02,41407.0
2020-09-03,46006.0
2020-09-04,58912.0
2020-09-05,20241.0
2020-09-06,0.0
2020-09-07,41321.0
2020-09-08,33014.0
2020-09-09,44874.0
2020-09-10,37180.0
2020-09-11,34817.0
2020-09-12,9071.0
2020-09-13,0.0
2020-09-14,36709.0
2020-09-15,56123.0
2020-09-16,49639.0
2020-09-17,36105.0
2020-09-18,48326.0
2020-09-19,17602.0
2020-09-20,0.0
2020-09-21,50997.0
2020-09-22,33054.0
2020-09-23,34156.0
2020-09-24,34563.0
2020-09-25,35411.0
2020-09-26,11814.0
2020-09-27,0.0
2020-09-28,99178.0
2020-09-29,47816.0
2020-09-30,29597.0
2020-10-01,28413.0
2020-10-02,35645.0
2020-10-03,18785.0
2020-10-04,0.0
2020-10-05,48286.0
2020-10-06,31963.0
2020-10-07,31173.0
2020-10-08,26663.0
2020-10-09,29613.0
2020-10-10,6992.0
2020-10-11,0.0
2020-10-12,76917.0
2020-10-13,41720.0
2020-10-14,35389.0
2020-10-15,31334.0
2020-10-16,30555.0
2020-10-17,11628.0
2020-10-18,0.0
2020-10-19,37401.0
2020-10-20,27662.0
2020-10-21,53203.0
2020-10-22,40804.0
2020-10-23,33970.0
2020-10-24,7311.0
2020-10-25,0.0
2020-10-26,42196.0
2020-10-27,30443.0
2020-10-28,37471.0
2020-10-29,35607.0
2020-10-30,33892.0
2020-10-31,10218.0
2020-11-01,0.0
2020-11-02,97115.0
2020-11-03,52137.0
2020-11-04,34518.0
2020-11-05,28924.0
2020-11-06,30227.0
2020-11-07,9427.0
2020-11-08,0.0
2020-11-09,29603.0
2020-11-10,25145.0
2020-11-11,28028.0
2020-11-12,30576.0
2020-11-13,33180.0
2020-11-14,7579.0
2020-11-15,0.0
2020-11-16,31171.0
2020-11-17,26101.0
2020-11-18,30502.0
2020-11-19,26927.0
2020-11-20,39279.0
2020-11-21,12218.0
2020-11-22,0.0
2020-11-23,52579.0
2020-11-24,34244.0
2020-11-25,0.0
2020-11-26,68627.0
2020-11-27,55150.0
2020-11-28,8871.0
2020-11-29,0.0
2020-11-30,61900.0
2020-12-01,38316.0
2020-12-02,34146.0
2020-12-03,33116.0
2020-12-04,44165.0
2020-12-05,15157.0
2020-12-06,0.0
2020-12-07,121386.0
2020-12-08,58114.0
2020-12-09,31761.0
2020-12-10,27389.0
2020-12-11,33857.0
2020-12-12,7651.0
2020-12-13,0.0
2020-12-14,28786.0
2020-12-15,25775.0
2020-12-16,35703.0
2020-12-17,36458.0
2020-12-18,33311.0
2020-12-19,14121.0
2020-12-20,0.0
2020-12-21,45227.0
2020-12-22,35009.0
2020-12-23,46098.0
2020-12-24,35845.0
2020-12-25,41895.0
2020-12-26,11692.0
2020-12-27,0.0
2020-12-28,38442.0
2020-12-29,31463.0
2020-12-30,22393.0
2020-12-31,0.0
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,34670.0
2021-01-05,24881.0
2021-01-06,21776.0
2021-01-07,27233.0
2021-01-08,40159.0
2021-01-09,12814.0
2021-01-10,0.0
2021-01-11,67305.0
2021-01-12,38112.0
2021-01-13,38135.0
2021-01-14,29131.0
2021-01-15,32714.0
2021-01-16,7453.0
2021-01-17,0.0
2021-01-18,40016.0
2021-01-19,31851.0
2021-01-20,34110.0
2021-01-21,0.0
2021-01-22,35592.0
2021-01-23,13008.0
2021-01-24,0.0
2021-01-25,49537.0
2021-01-26,32746.0
2021-01-27,62254.0
2021-01-28,49597.0
2021-01-29,37208.0
2021-01-30,7757.0
2021-01-31,0.0
2021-02-01,32221.0
2021-02-02,23142.0
2021-02-03,27305.0
2021-02-04,29030.0
2021-02-05,33465.0
2021-02-06,8139.0
2021-02-07,0.0
2021-02-08,59819.0
2021-02-09,36160.0
2021-02-10,29253.0
2021-02-11,28450.0
2021-02-12,29284.0
2021-02-13,7112.0
2021-02-14,0.0
2021-02-15,27661.0
2021-02-16,22436.0
2021-02-17,22666.0
2021-02-18,25244.0
2021-02-19,26692.0
2021-02-20,7606.0
2021-02-21,0.0
2021-02-22,93083.0
2021-02-23,48122.0
2021-02-24,80307.0
2021-02-25,56698.0
2021-02-26,38330.0
2021-02-27,12238.0
2021-02-28,0.0
2021-03-01,48245.0
2021-03-02,29783.0
2021-03-03,31663.0
2021-03-04,28332.0
2021-03-05,35901.0
2021-03-06,14802.0
2021-03-07,0.0
2021-03-08,58429.0
2021-03-09,31446.0
2021-03-10,28831.0
2021-03-11,27473.0
2021-03-12,26633.0
2021-03-13,8305.0
2021-03-14,0.0
2021-03-15,29963.0
2021-03-16,21688.0
2021-03-17,39399.0
2021-03-18,37862.0
2021-03-19,34786.0
2021-03-20,15530.0
2021-03-21,0.0
2021-03-22,47136.0
2021-03-23,28081.0
2021-03-24,40862.0
2021-03-25,42740.0
2021-03-26,41422.0
2021-03-27,7731.0
2021-03-28,0.0
2021-03-29,67826.0
2021-03-30,41259.0
2021-03-31,38083.0
2021-04-01,42046.0
2021-04-02,41459.0
2021-04-03,12122.0
2021-04-04,0.0
2021-04-05,40457.0
2021-04-06,29536.0
2021-04-07,28988.0
2021-04-08,28323.0
2021-04-09,32456.0
2021-04-10,0.0
2021-04-11,0.0
2021-04-12,31143.0
2021-04-13,26049.0
2021-04-14,39603.0
2021-04-15,33788.0
2021-04-16,36294.0
2021-04-17,14032.0
2021-04-18,0.0
2021-04-19,34034.0
2021-04-20,29704.0
2021-04-21,68410.0
2021-04-22,52995.0
2021-04-23,49680.0
2021-04-24,10572.0
2021-04-25,0.0
2021-04-26,41050.0
2021-04-27,29666.0
2021-04-28,45454.0
2021-04-29,35256.0
2021-04-30,26269.0
2021-05-01,7271.0
2021-05-02,0.0
2021-05-03,37580.0
2021-05-04,26261.0
2021-05-05,29561.0
